iter	MultiClass
0	1.270842863
1	1.183755731
2	1.115948943
3	1.059521553
4	1.013523836
5	0.975433778
6	0.9415409784
7	0.9129479081
8	0.8871858672
9	0.8646018146
10	0.8456828033
11	0.8282486343
12	0.8133660473
13	0.8004492194
14	0.7884636923
15	0.7779947167
16	0.7689864571
17	0.7604988503
18	0.7532499051
19	0.7469710713
20	0.7403382605
21	0.7347130861
22	0.7297824271
23	0.7250202253
24	0.7209506206
25	0.7182255122
26	0.7142696554
27	0.7104703071
28	0.707592951
29	0.7049000384
30	0.7030936834
31	0.700480038
32	0.6981773001
33	0.6965142286
34	0.6947172756
35	0.6927224979
36	0.6914979957
37	0.6899598333
38	0.6883664886
39	0.6866173824
40	0.6854813916
41	0.6838499894
42	0.6821729247
43	0.6806255665
44	0.6793298986
45	0.6779955646
46	0.6772358647
47	0.6761119537
48	0.6749075585
49	0.6739052235
50	0.6731753972
51	0.6720071366
52	0.6715065883
53	0.6709696568
54	0.6695536226
55	0.6690461835
56	0.6682242627
57	0.6673832217
58	0.6666390902
59	0.6654373014
60	0.6649070903
61	0.6644592693
62	0.66389439
63	0.663364618
64	0.6628995312
65	0.6618659419
66	0.6614093436
67	0.6604851545
68	0.6596247877
69	0.6589100327
70	0.6582062195
71	0.6572685983
72	0.6567083793
73	0.6558956395
74	0.6554585396
75	0.6546417522
76	0.6539808536
77	0.6532230473
78	0.6526226412
79	0.6517640031
80	0.6513789823
81	0.6500711968
82	0.6493277319
83	0.6484475964
84	0.6478795141
85	0.6470788938
86	0.6465289596
87	0.6452809933
88	0.6446921911
89	0.6444110374
90	0.6439802204
91	0.6433108017
92	0.6428693552
93	0.6417329356
94	0.6413889136
95	0.6409846815
96	0.6403728199
97	0.639658227
98	0.6387487326
99	0.6379659227
100	0.6374148618
101	0.6368300258
102	0.6362853333
103	0.6357205522
104	0.6350497378
105	0.6344215703
106	0.6339503233
107	0.6333358103
108	0.6324325327
109	0.6319918471
110	0.6313244839
111	0.6307748908
112	0.6299603874
113	0.6291956771
114	0.6284497937
115	0.6277065337
116	0.6269663185
117	0.6264321722
118	0.6258453476
119	0.625343529
120	0.6243161448
121	0.6235512411
122	0.6229228293
123	0.622228713
124	0.6216303326
125	0.6208932853
126	0.6203061011
127	0.6199796621
128	0.6195218962
129	0.6189595788
130	0.6185040143
131	0.6179829147
132	0.6175491857
133	0.616560976
134	0.6160288359
135	0.6154974248
136	0.6149158949
137	0.6143320528
138	0.6136892466
139	0.6132834937
140	0.6123381439
141	0.6115509484
142	0.6110597074
143	0.6105191768
144	0.6094590746
145	0.6088098372
146	0.6079803131
147	0.6069747617
148	0.6063325319
149	0.6057325374
150	0.6049629761
151	0.6041262767
152	0.6031220468
153	0.6026707194
154	0.6020640786
155	0.6014706537
156	0.6011110749
157	0.6006934716
158	0.6001269844
159	0.599496617
160	0.5990112376
161	0.598462097
162	0.598040196
163	0.5975984325
164	0.5972874123
165	0.5965152203
166	0.5957752115
167	0.5950318069
168	0.5946898783
169	0.5943546914
170	0.5939247062
171	0.5935765021
172	0.5928405692
173	0.5918301025
174	0.5915621779
175	0.5910597766
176	0.5902475837
177	0.5896549071
178	0.5889398483
179	0.5879073019
180	0.5876257536
181	0.5872086877
182	0.5869030629
183	0.5862225262
184	0.5856415405
185	0.5852257042
186	0.5846352372
187	0.5841788378
188	0.5838066506
189	0.5829860298
190	0.5825248979
191	0.5817591139
192	0.581274886
193	0.5807946385
194	0.5803491024
195	0.5796802456
196	0.5788802024
197	0.5781940927
198	0.577702072
199	0.5772711416
200	0.5767462664
201	0.5764582555
202	0.5757526713
203	0.5752679784
204	0.5749592988
205	0.574277733
206	0.5735842405
207	0.5729452545
208	0.5724300503
209	0.5715236834
210	0.571176855
211	0.5707231281
212	0.5703169262
213	0.5698554676
214	0.5694398696
215	0.5686906919
216	0.5683287944
217	0.5675028021
218	0.5669225415
219	0.5659792782
220	0.5655432675
221	0.5652032199
222	0.5649303055
223	0.5641029154
224	0.5634736576
225	0.5628220063
226	0.5624479516
227	0.5620024649
228	0.5612635863
229	0.5605930504
230	0.5598707999
231	0.5594337165
232	0.5585785951
233	0.558072679
234	0.5577720119
235	0.5571398578
236	0.5565988836
237	0.556268291
238	0.5558716355
239	0.5555726984
240	0.5549302436
241	0.5542868284
242	0.5537312741
243	0.5532910433
244	0.5527712148
245	0.5523407339
246	0.5521173698
247	0.5518089091
248	0.5515280958
249	0.5509703773
250	0.5503530023
251	0.5497894562
252	0.5494760562
253	0.5491718746
254	0.5489012111
255	0.5484511846
256	0.548105092
257	0.5473489365
258	0.5469784296
259	0.5463054021
260	0.5460288071
261	0.5455292087
262	0.5450137781
263	0.5444761772
264	0.5441152656
265	0.5436866069
266	0.5433705345
267	0.5426625007
268	0.5417727281
269	0.5413661229
270	0.5409043242
271	0.5402992365
272	0.5400466879
273	0.5396582606
274	0.5391845031
275	0.5387661808
276	0.5382329968
277	0.5380036782
278	0.5373079881
279	0.5367771563
280	0.5363803684
281	0.5360587214
282	0.5357458621
283	0.5351621698
284	0.5348346234
285	0.5343713282
286	0.5341378934
287	0.5334825709
288	0.5330121143
289	0.532795584
290	0.5323452963
291	0.5320986867
292	0.531778882
293	0.5313723831
294	0.5310155716
295	0.530277484
296	0.5297349028
297	0.5293746114
298	0.5289061281
299	0.5284264845
300	0.5279396489
301	0.5273773179
302	0.5268742768
303	0.5263840184
304	0.5260813883
305	0.5255958149
306	0.5251033272
307	0.5245914146
308	0.5243512326
309	0.5238759858
310	0.5233861196
311	0.5229198677
312	0.5223972487
313	0.5218256833
314	0.521502723
315	0.5209058048
316	0.5204306235
317	0.5198225492
318	0.5194798699
319	0.518963913
320	0.5187072245
321	0.5184315083
322	0.5179714264
323	0.5176640045
324	0.5173564133
325	0.5168398493
326	0.5164311751
327	0.5159238824
328	0.5152748851
329	0.5147215547
330	0.5142960142
331	0.5138978647
332	0.5133805481
333	0.5130800075
334	0.5126746829
335	0.5121683835
336	0.5118724295
337	0.5112647105
338	0.510895403
339	0.5106081232
340	0.510302471
341	0.5099016573
342	0.5095832068
343	0.5092771036
344	0.5084209784
345	0.5080930108
346	0.5074288842
347	0.5069491025
348	0.5065949174
349	0.506175201
350	0.5056018051
351	0.5050347198
352	0.5044571223
353	0.5040069888
354	0.5034351047
355	0.502905551
356	0.5026303514
357	0.5024000002
358	0.5022274964
359	0.5015767814
360	0.5010469045
361	0.5005948935
362	0.5000712945
363	0.4994682302
364	0.4990308165
365	0.498756616
366	0.4985009656
367	0.4981481621
368	0.4977404147
369	0.4973301973
370	0.4967629504
371	0.4963882455
372	0.4959851649
373	0.4958761581
374	0.4955352827
375	0.4951485476
376	0.4946654837
377	0.4942173007
378	0.4937836946
379	0.4934263725
380	0.4931724862
381	0.4927056585
382	0.4922834693
383	0.4919622999
384	0.4914837097
385	0.4911746945
386	0.4907508747
387	0.4904572191
388	0.4901490877
389	0.489833319
390	0.4893803716
391	0.4892082966
392	0.4889389205
393	0.4886088183
394	0.48827942
395	0.4878282504
396	0.4873947431
397	0.4871253391
398	0.4866024652
399	0.4862710695
400	0.4857458194
401	0.4853909394
402	0.4850013447
403	0.484736489
404	0.4844220442
405	0.4840396043
406	0.4835948828
407	0.4832027379
408	0.4829287616
409	0.4824528045
410	0.4820953471
411	0.4817888974
412	0.481514552
413	0.481277964
414	0.481073938
415	0.4808473026
416	0.4805949424
417	0.4802753937
418	0.4799322356
419	0.4794941375
420	0.4790135706
421	0.4786669901
422	0.4781803826
423	0.477983926
424	0.4776920947
425	0.4772220671
426	0.4768782989
427	0.4764435908
428	0.4760558794
429	0.4757845717
430	0.4753587417
431	0.4750322199
432	0.4748419649
433	0.4746093894
434	0.4743675891
435	0.474023435
436	0.4737641722
437	0.4735779747
438	0.4731907384
439	0.472900725
440	0.4725651524
441	0.4723590669
442	0.4720644144
443	0.4715987785
444	0.4712194821
445	0.4708403794
446	0.4704234794
447	0.4702379173
448	0.4700664673
449	0.4698617163
450	0.4693905981
451	0.4691849128
452	0.4689089572
453	0.468551951
454	0.4679849639
455	0.4678392852
456	0.4674295539
457	0.4669481468
458	0.4665372499
459	0.4663720597
460	0.4659940885
461	0.4657453297
462	0.4656249981
463	0.4654070178
464	0.465044955
465	0.4647453706
466	0.4643020689
467	0.4638385512
468	0.4635452797
469	0.4630508928
470	0.4626958268
471	0.4623964041
472	0.4621948156
473	0.4617042429
474	0.4613111158
475	0.4608374933
476	0.4604670759
477	0.4601642474
478	0.4596990841
479	0.4594644916
480	0.459261033
481	0.4590404307
482	0.458588864
483	0.4581707711
484	0.457863411
485	0.4574374147
486	0.4571857987
487	0.4566538976
488	0.4565129052
489	0.4563645995
490	0.4559840449
491	0.4557546479
492	0.4554678745
493	0.4550668449
494	0.4548287581
495	0.4545539265
496	0.4542256354
497	0.4538888346
498	0.4534507384
499	0.4532645794
500	0.4529651601
501	0.4527417694
502	0.4524840735
503	0.4521337817
504	0.4517596821
505	0.4513226794
506	0.451169779
507	0.450705007
508	0.4504916636
509	0.4502637042
510	0.4501067708
511	0.4498815595
512	0.4495301881
513	0.4492372624
514	0.4489542425
515	0.4487037978
516	0.4486130695
517	0.4484233286
518	0.4480446811
519	0.4477050741
520	0.4475113713
521	0.4471109083
522	0.4470382576
523	0.446705384
524	0.4464177887
525	0.4461344205
526	0.4457935862
527	0.4453107195
528	0.4448603445
529	0.44479805
530	0.4444704556
531	0.4441256648
532	0.44384172
533	0.4434240097
534	0.4431336832
535	0.4428246735
536	0.4427128009
537	0.4421564075
538	0.441802986
539	0.4413466906
540	0.4412060448
541	0.4409183806
542	0.440612657
543	0.4403244405
544	0.4399945757
545	0.4396032601
546	0.439387623
547	0.4390451351
548	0.4388128482
549	0.4384448453
550	0.4382084303
551	0.4379157826
552	0.4376590519
553	0.4372358944
554	0.4368886575
555	0.4364735972
556	0.4362060205
557	0.4360266819
558	0.4357000794
559	0.4354512081
560	0.4351845713
561	0.4347955037
562	0.434721247
563	0.4345218354
564	0.4344278358
565	0.4342052958
566	0.4339032238
567	0.4336721501
568	0.4331069765
569	0.4327815408
570	0.4325987874
571	0.4321921923
572	0.431888011
573	0.4318058229
574	0.4314585398
575	0.4311949642
576	0.430958566
577	0.4305338381
578	0.4303474881
579	0.4300479047
580	0.4298020322
581	0.4295624674
582	0.4291988373
583	0.4288164616
584	0.4285601463
585	0.4283959831
586	0.4279392601
587	0.4277063577
588	0.4274672406
589	0.4272160687
590	0.4268992095
591	0.4266869479
592	0.4262971235
593	0.4259377246
594	0.4255547948
595	0.425245921
596	0.425010346
597	0.4247307264
598	0.4246281401
599	0.4245011806
600	0.4242903859
601	0.4241301079
602	0.4238062556
603	0.4235190797
604	0.4233126983
605	0.4230680475
606	0.4229162156
607	0.4226000153
608	0.4224552525
609	0.4222708155
610	0.4220046859
611	0.4216730525
612	0.421473441
613	0.4212661117
614	0.4210241228
615	0.4208398351
616	0.4205415209
617	0.4202006556
618	0.4198938965
619	0.4195765213
620	0.4191061482
621	0.4188897724
622	0.4184968055
623	0.4180999519
624	0.4178790317
625	0.4175343656
626	0.4172895115
627	0.4169823785
628	0.4168541549
629	0.4166298889
630	0.4163844309
631	0.416000955
632	0.4157997947
633	0.4155298399
634	0.4152173852
635	0.4148409696
636	0.4146095549
637	0.4142848982
638	0.4140616275
639	0.4138334879
640	0.413555914
641	0.4131208247
642	0.4127556679
643	0.4124940136
644	0.412111679
645	0.4118402015
646	0.4114399135
647	0.4112792399
648	0.4110026858
649	0.4108155962
650	0.4105172088
651	0.4103269166
652	0.4101007114
653	0.4099090501
654	0.4095394559
655	0.4093576751
656	0.4091637507
657	0.4089832983
658	0.4086942178
659	0.408429055
660	0.4081442431
661	0.4079857989
662	0.4075681034
663	0.4072292872
664	0.406982739
665	0.4067855126
666	0.4065406089
667	0.4063160072
668	0.4061672257
669	0.4058886381
670	0.4055407203
671	0.4053057876
672	0.4050207055
673	0.4047416728
674	0.4045397169
675	0.4042468999
676	0.4039529521
677	0.4038161544
678	0.4035535811
679	0.4032006408
680	0.4028021956
681	0.402391167
682	0.4022687261
683	0.4019339632
684	0.4016911864
685	0.4013899545
686	0.4011098838
687	0.400982762
688	0.4008428732
689	0.4006726631
690	0.4005332497
691	0.4003208631
692	0.3999637887
693	0.3995517844
694	0.3993839129
695	0.3991407503
696	0.3989820631
697	0.3986864327
698	0.3985769855
699	0.3983595563
700	0.3981515536
701	0.3979872354
702	0.3978475439
703	0.397581394
704	0.3973162954
705	0.3970193734
706	0.3968563869
707	0.3965219862
708	0.3963413786
709	0.3962141875
710	0.3960251665
711	0.3958452594
712	0.3955923594
713	0.3951809464
714	0.3948717704
715	0.3945476883
716	0.3942200212
717	0.3938473479
718	0.3936758111
719	0.3935712043
720	0.3932954818
721	0.3931826827
722	0.3929033337
723	0.3926835013
724	0.3924872105
725	0.3924006145
726	0.3921814263
727	0.3919756812
728	0.3918557513
729	0.3916169669
730	0.3913835331
731	0.3912744757
732	0.3909193897
733	0.3907107742
734	0.3905230654
735	0.3903527754
736	0.3900676817
737	0.3899160282
738	0.3896971163
739	0.3893365579
740	0.3890494565
741	0.3887448377
742	0.3885583109
743	0.3882572924
744	0.3880597941
745	0.3878233037
746	0.3875558704
747	0.3873071176
748	0.3870365893
749	0.3867011533
750	0.3864138507
751	0.3862415732
752	0.3861539934
753	0.3860407702
754	0.3857396308
755	0.3856057775
756	0.3852628966
757	0.3850032677
758	0.3849218763
759	0.3847489711
760	0.3845390781
761	0.3843916947
762	0.3841738911
763	0.3839988605
764	0.3837044187
765	0.3834863268
766	0.3832999641
767	0.3830975974
768	0.3829688485
769	0.3827511166
770	0.3825023175
771	0.3822346851
772	0.3818227256
773	0.3817844784
774	0.3816083524
775	0.3812005169
776	0.381104155
777	0.3808768803
778	0.3807222418
779	0.3804972412
780	0.3803213587
781	0.3800888943
782	0.3797581272
783	0.3795268665
784	0.3793083095
785	0.3791355992
786	0.3789332268
787	0.3786418781
788	0.3783244243
789	0.378077127
790	0.3779906727
791	0.3777649091
792	0.3775355494
793	0.3773486566
794	0.377199682
795	0.376938949
796	0.3767099285
797	0.3764315371
798	0.3761346241
799	0.3758019147
800	0.375627098
801	0.3753517821
802	0.3751410797
803	0.3749297257
804	0.3746552031
805	0.3745162361
806	0.3743049807
807	0.3741580139
808	0.3738602761
809	0.3737143855
810	0.3736329144
811	0.3734357422
812	0.3732099251
813	0.3729851138
814	0.3725665747
815	0.3724603782
816	0.3722502502
817	0.3721452396
818	0.3719151703
819	0.3716747886
820	0.3714718786
821	0.3712274469
822	0.3711183961
823	0.370808068
824	0.3705717973
825	0.3704441592
826	0.3702848028
827	0.3700907986
828	0.3699145482
829	0.3697639817
830	0.3696094662
831	0.369343505
832	0.3691598782
833	0.3688431941
834	0.3686348495
835	0.3684986929
836	0.3683005826
837	0.3680572526
838	0.3678033811
839	0.3675379262
840	0.3673081126
841	0.3670823641
842	0.3669267274
843	0.3668078012
844	0.366610823
845	0.3664592696
846	0.3663398949
847	0.3661808769
848	0.3660435734
849	0.3658298347
850	0.365646388
851	0.3654457784
852	0.3653273573
853	0.3651099869
854	0.3648881621
855	0.3646787197
856	0.3645369905
857	0.3643171318
858	0.3641741777
859	0.3640059813
860	0.3637820104
861	0.3636610764
862	0.363446046
863	0.3632449932
864	0.3630752726
865	0.3628155896
866	0.36267968
867	0.3624596476
868	0.3623453665
869	0.362172758
870	0.3621034725
871	0.3618116988
