iter	Passed	Remaining
0	241	240800
1	507	253377
2	778	258796
3	1036	258095
4	1284	255569
5	1644	272373
6	1895	268892
7	2143	265800
8	2395	263792
9	2681	265501
10	2951	265322
11	3214	264625
12	3480	264232
13	4116	289885
14	4548	298716
15	5032	309526
16	5479	316831
17	5911	322516
18	6340	327369
19	6783	332387
20	7232	337182
21	7648	339999
22	8017	340582
23	8391	341243
24	8767	341927
25	9126	341907
26	9480	341636
27	9848	341882
28	10231	342586
29	10595	342582
30	10939	341960
31	11275	341081
32	11648	341332
33	11999	340931
34	12354	340644
35	13012	348456
36	13725	357226
37	14097	356900
38	14466	356464
39	14813	355520
40	15155	354488
41	15512	353824
42	15849	352752
43	16185	351664
44	16506	350308
45	16831	349079
46	17156	347878
47	17478	346665
48	17803	345529
49	18146	344774
50	18485	343980
51	18825	343199
52	19159	342345
53	19484	341332
54	19835	340810
55	20174	340083
56	20516	339416
57	20877	339078
58	21190	337977
59	21521	337169
60	21842	336232
61	22155	335198
62	22469	334192
63	22790	333309
64	23104	332348
65	23422	331464
66	23734	330510
67	24064	329826
68	24416	329445
69	24740	328688
70	25081	328181
71	25414	327567
72	25750	326990
73	26100	326608
74	26426	325929
75	26752	325248
76	27080	324609
77	27417	324089
78	27742	323429
79	28069	322802
80	28395	322166
81	28728	321616
82	29049	320942
83	29381	320396
84	29702	319735
85	30026	319124
86	30353	318539
87	30707	318237
88	31037	317701
89	31396	317452
90	31717	316829
91	32041	316238
92	32369	315689
93	32718	315355
94	33059	314933
95	33372	314253
96	33682	313561
97	34008	313014
98	34334	312474
99	34664	311984
100	34977	311331
101	35304	310815
102	35638	310365
103	35991	310079
104	36338	309744
105	36682	309379
106	37017	308941
107	37340	308405
108	37685	308056
109	38020	307624
110	38350	307146
111	38670	306601
112	39010	306213
113	39337	305732
114	39661	305221
115	39984	304711
116	40305	304186
117	40633	303718
118	40968	303304
119	41296	302843
120	41659	302631
121	41999	302256
122	42333	301844
123	42660	301378
124	42978	300852
125	43302	300369
126	43619	299840
127	43934	299304
128	44279	298969
129	44598	298468
130	44928	298034
131	45259	297612
132	45579	297126
133	45911	296713
134	46234	296242
135	46578	295910
136	46946	295725
137	47299	295451
138	47632	295044
139	47987	294780
140	48335	294471
141	48668	294067
142	48999	293653
143	49337	293286
144	49668	292873
145	50020	292587
146	50358	292219
147	50684	291777
148	51003	291302
149	51325	290847
150	51654	290428
151	51984	290016
152	52356	289842
153	52685	289430
154	53025	289072
155	53357	288680
156	53676	288210
157	54004	287794
158	54329	287366
159	54654	286935
160	54982	286525
161	55306	286090
162	55624	285632
163	55944	285182
164	56265	284737
165	56593	284329
166	56924	283940
167	57263	283591
168	57618	283318
169	57965	283010
170	58299	282632
171	58636	282272
172	58967	281884
173	59304	281525
174	59628	281105
175	59965	280747
176	60304	280397
177	60630	279989
178	60952	279562
179	61297	279244
180	61629	278864
181	61960	278481
182	62274	278021
183	62595	277597
184	62964	277382
185	63305	277046
186	63627	276626
187	63953	276222
188	64284	275843
189	64606	275428
190	64928	275010
191	65261	274641
192	65581	274220
193	65920	273875
194	66241	273458
195	66566	273059
196	66903	272709
197	67233	272327
198	67559	271933
199	67879	271518
200	68234	271242
201	68600	271005
202	68928	270620
203	69257	270240
204	69580	269835
205	69910	269462
206	70244	269101
207	70572	268718
208	70894	268314
209	71230	267960
210	71553	267562
211	71881	267181
212	72209	266801
213	72537	266421
214	72860	266025
215	73203	265700
216	73560	265427
217	73925	265183
218	74258	264822
219	74595	264474
220	74916	264073
221	75240	263680
222	75561	263278
223	75889	262902
224	76219	262533
225	76546	262155
226	76869	261764
227	77189	261360
228	77528	261024
229	77873	260708
230	78199	260326
231	78520	259931
232	78890	259695
233	79234	259375
234	79558	258988
235	79895	258646
236	80237	258317
237	80566	257948
238	80924	257671
239	81235	257246
240	81566	256882
241	81908	256556
242	82238	256192
243	82558	255796
244	82888	255432
245	83210	255042
246	83526	254638
247	83847	254248
248	84178	253889
249	84563	253690
250	84911	253382
251	85266	253093
252	85606	252759
253	85937	252400
254	86262	252021
255	86589	251651
256	86915	251278
257	87246	250918
258	87566	250529
259	87897	250169
260	88220	249787
261	88549	249425
262	88869	249037
263	89199	248678
264	89556	248391
265	89896	248059
266	90228	247705
267	90585	247418
268	90909	247043
269	91236	246677
270	91556	246289
271	91883	245922
272	92234	245621
273	92553	245234
274	92882	244872
275	93202	244488
276	93531	244126
277	93846	243731
278	94179	243382
279	94504	243011
280	94844	242679
281	95198	242385
282	95538	242054
283	95885	241739
284	96215	241381
285	96538	241008
286	96855	240619
287	97190	240277
288	97520	239921
289	97865	239601
290	98188	239229
291	98505	238842
292	98823	238458
293	99157	238112
294	99482	237746
295	99818	237406
296	100158	237075
297	100503	236757
298	100849	236439
299	101188	236106
300	101624	235999
301	101982	235708
302	102313	235355
303	102636	234983
304	102975	234647
305	103299	234279
306	103635	233938
307	103964	233583
308	104284	233206
309	104618	232860
310	104942	232493
311	105269	232132
312	105632	231851
313	105961	231496
314	106313	231190
315	106637	230823
316	106964	230463
317	107290	230101
318	107611	229727
319	107938	229368
320	108255	228988
321	108589	228644
322	108914	228282
323	109242	227926
324	109578	227586
325	109916	227250
326	110244	226895
327	110574	226543
328	110941	226266
329	111258	225888
330	111608	225577
331	111941	225231
332	112268	224873
333	112591	224508
334	112922	224158
335	113247	223799
336	113572	223438
337	113899	223080
338	114233	222739
339	114581	222422
340	114923	222095
341	115260	221758
342	115585	221398
343	115904	221026
344	116282	220768
345	116612	220418
346	116989	220156
347	117308	219785
348	117631	219422
349	117962	219072
350	118306	218748
351	118631	218389
352	118963	218043
353	119297	217701
354	119617	217333
355	119955	216997
356	120282	216642
357	120599	216271
358	120923	215911
359	121272	215595
360	121639	215312
361	121970	214963
362	122347	214698
363	122677	214348
364	123005	213995
365	123325	213629
366	123644	213262
367	123971	212907
368	124297	212552
369	124622	212194
370	124964	211867
371	125293	211517
372	125625	211171
373	125941	210801
374	126300	210500
375	126647	210181
376	127025	209911
377	127372	209592
378	127733	209294
379	128054	208930
380	128394	208598
381	128726	208254
382	129050	207895
383	129377	207542
384	129708	207197
385	130039	206850
386	130378	206516
387	130699	206154
388	131022	205796
389	131343	205434
390	131668	205079
391	132005	204743
392	132336	204398
393	132680	204071
394	133016	203733
395	133348	203389
396	133677	203041
397	133998	202680
398	134327	202333
399	134669	202004
400	135018	201686
401	135367	201367
402	135706	201033
403	136049	200706
404	136387	200371
405	136726	200038
406	137059	199696
407	137416	199388
408	137775	199084
409	138128	198769
410	138457	198421
411	138792	198082
412	139119	197732
413	139439	197371
414	139758	197009
415	140086	196660
416	140403	196295
417	140723	195935
418	141046	195579
419	141374	195231
420	141704	194885
421	142039	194547
422	142364	194194
423	142726	193892
424	143054	193544
425	143415	193241
426	143759	192913
427	144092	192572
428	144462	192279
429	144791	191932
430	145132	191601
431	145460	191253
432	145783	190898
433	146102	190538
434	146423	190182
435	146755	189840
436	147083	189491
437	147399	189128
438	147743	188801
439	148115	188510
440	148441	188160
441	148780	187826
442	149108	187478
443	149435	187131
444	149774	186797
445	150115	186465
446	150445	186121
447	150780	185782
448	151102	185428
449	151416	185064
450	151737	184709
451	152057	184352
452	152384	184004
453	152722	183670
454	153089	183371
455	153421	183028
456	153748	182681
457	154099	182362
458	154432	182021
459	154751	181665
460	155082	181322
461	155406	180970
462	155728	180618
463	156049	180263
464	156376	179917
465	156697	179563
466	157016	179207
467	157351	178869
468	157680	178524
469	158013	178185
470	158354	177854
471	158720	177551
472	159039	177196
473	159382	176867
474	159747	176563
475	160083	176226
476	160429	175900
477	160749	175546
478	161081	175205
479	161408	174859
480	161732	174509
481	162053	174156
482	162375	173805
483	162704	173462
484	163028	173112
485	163370	172782
486	163717	172457
487	164062	172131
488	164380	171776
489	164738	171462
490	165081	171133
491	165424	170804
492	165745	170452
493	166079	170114
494	166413	169775
495	166744	169434
496	167072	169089
497	167406	168751
498	167737	168409
499	168057	168057
500	168391	167719
501	168723	167379
502	169072	167055
503	169421	166732
504	169760	166398
505	170141	166106
506	170475	165768
507	170812	165432
508	171152	165100
509	171477	164752
510	171807	164411
511	172140	164071
512	172459	163718
513	172791	163378
514	173120	163035
515	173440	162684
516	173773	162345
517	174096	161996
518	174449	161676
519	174774	161330
520	175098	160982
521	175466	160675
522	175783	160322
523	176238	160094
524	176565	159749
525	176886	159399
526	177205	159048
527	177540	158710
528	177873	158371
529	178187	158015
530	178535	157689
531	178892	157371
532	179237	157042
533	179588	156719
534	179940	156397
535	180283	156066
536	180620	155730
537	180970	155406
538	181310	155072
539	181643	154732
540	181975	154393
541	182302	154048
542	182623	153699
543	182969	153371
544	183287	153020
545	183621	152681
546	183947	152336
547	184283	152000
548	184622	151666
549	184980	151347
550	185335	151026
551	185671	150689
552	186033	150374
553	186369	150037
554	186701	149697
555	187031	149355
556	187368	149019
557	187686	148669
558	188022	148332
559	188350	147989
560	188683	147650
561	189002	147300
562	189315	146946
563	189633	146595
564	189971	146261
565	190331	145943
566	190673	145610
567	191000	145267
568	191351	144942
569	191689	144607
570	192006	144257
571	192338	143917
572	192691	143593
573	193013	143247
574	193352	142912
575	193683	142572
576	194005	142225
577	194332	141883
578	194644	141529
579	194961	141179
580	195278	140829
581	195615	140493
582	195963	140166
583	196294	139825
584	196630	139490
585	196969	139156
586	197312	138824
587	197638	138481
588	197961	138136
589	198284	137790
590	198609	137447
591	198930	137100
592	199250	136753
593	199577	136411
594	199908	136072
595	200229	135725
596	200549	135379
597	200899	135052
598	201256	134730
599	201592	134394
600	201975	134089
601	202374	133795
602	202749	133485
603	203102	133159
604	203465	132841
605	203798	132502
606	204124	132159
607	204490	131842
608	204815	131498
609	205130	131149
610	205453	130804
611	205787	130466
612	206113	130124
613	206478	129805
614	206816	129470
615	207146	129130
616	207497	128802
617	207831	128465
618	208157	128122
619	208487	127782
620	208822	127445
621	209156	127108
622	209491	126771
623	209822	126431
624	210139	126083
625	210474	125746
626	210809	125410
627	211154	125078
628	211487	124740
629	211838	124412
630	212162	124069
631	212501	123734
632	212872	123419
633	213204	123080
634	213532	122739
635	213861	122398
636	214182	122054
637	214514	121715
638	214843	121374
639	215175	121036
640	215509	120698
641	215844	120361
642	216166	120017
643	216481	119669
644	216839	119345
645	217195	119020
646	217516	118675
647	217845	118335
648	218193	118006
649	218517	117663
650	218843	117321
651	219161	116975
652	219473	116626
653	219794	116282
654	220137	115950
655	220453	115603
656	220775	115260
657	221098	114917
658	221427	114577
659	221763	114241
660	222103	113908
661	222449	113576
662	222794	113245
663	223185	112937
664	223563	112622
665	223898	112285
666	224219	111941
667	224547	111601
668	224884	111265
669	225220	110929
670	225552	110591
671	225876	110249
672	226202	109908
673	226526	109566
674	226844	109221
675	227173	108881
676	227515	108548
677	227855	108214
678	228178	107872
679	228523	107540
680	228886	107217
681	229215	106877
682	229534	106533
683	229867	106196
684	230200	105858
685	230530	105519
686	230851	105177
687	231174	104835
688	231500	104494
689	231825	104153
690	232140	103808
691	232467	103468
692	232819	103139
693	233162	102806
694	233486	102465
695	233849	102141
696	234170	101798
697	234497	101458
698	234832	101122
699	235158	100782
700	235488	100443
701	235808	100101
702	236129	99758
703	236454	99418
704	236791	99082
705	237114	98741
706	237428	98396
707	237752	98056
708	238102	97726
709	238446	97393
710	238779	97056
711	239131	96727
712	239470	96392
713	239806	96057
714	240137	95719
715	240473	95383
716	240808	95047
717	241137	94708
718	241457	94366
719	241790	94029
720	242113	93688
721	242425	93344
722	242757	93006
723	243073	92663
724	243407	92326
725	243738	91989
726	244062	91649
727	244411	91318
728	244756	90986
729	245094	90651
730	245417	90311
731	245739	89970
732	246089	89639
733	246452	89314
734	246778	88974
735	247097	88632
736	247421	88293
737	247744	87952
738	248069	87613
739	248411	87279
740	248748	86944
741	249086	86609
742	249408	86269
743	249771	85943
744	250114	85609
745	250446	85272
746	250777	84935
747	251100	84595
748	251434	84259
749	251763	83921
750	252216	83624
751	252543	83285
752	252864	82944
753	253190	82606
754	253513	82265
755	253875	81938
756	254297	81630
757	254663	81304
758	255042	80981
759	255431	80662
760	255797	80335
761	256154	80006
762	256526	79681
763	256859	79344
764	257183	79004
765	257514	78666
766	257842	78327
767	258167	77988
768	258493	77648
769	258813	77308
770	259136	76967
771	259472	76631
772	259827	76301
773	260142	75958
774	260500	75629
775	260835	75292
776	261154	74951
777	261485	74614
778	261811	74275
779	262142	73937
780	262462	73597
781	262793	73259
782	263123	72921
783	263453	72584
784	263781	72246
785	264101	71905
786	264461	71575
787	264807	71242
788	265161	70911
789	265496	70574
790	265862	70246
791	266196	69910
792	266522	69571
793	266854	69234
794	267172	68893
795	267496	68554
796	267822	68215
797	268150	67877
798	268483	67540
799	268823	67205
800	269151	66867
801	269486	66531
802	269811	66192
803	270169	65862
804	270519	65529
805	270862	65195
806	271213	64862
807	271540	64524
808	271871	64187
809	272193	63847
810	272521	63509
811	272861	63174
812	273193	62837
813	273512	62497
814	273845	62161
815	274159	61820
816	274485	61482
817	274794	61140
818	275143	60807
819	275485	60472
820	275827	60137
821	276164	59802
822	276517	59469
823	276857	59134
824	277213	58802
825	277576	58472
826	277919	58137
827	278288	57808
828	278648	57477
829	278989	57142
830	279334	56808
831	279687	56475
832	280047	56144
833	280391	55809
834	280763	55480
835	281142	55152
836	281513	54822
837	281875	54491
838	282240	54160
839	282588	53826
840	283086	53520
841	283436	53186
842	283758	52847
843	284082	52508
844	284410	52169
845	284739	51831
846	285062	51493
847	285384	51153
848	285708	50815
849	286062	50481
850	286418	50148
851	286735	49808
852	287079	49473
853	287423	49137
854	287748	48799
855	288069	48460
856	288401	48122
857	288725	47784
858	289050	47445
859	289373	47107
860	289699	46769
861	290020	46430
862	290338	46090
863	290666	45753
864	290985	45413
865	291336	45079
866	291697	44747
867	292033	44410
868	292384	44076
869	292720	43739
870	293046	43401
871	293375	43064
872	293704	42726
873	294031	42389
874	294352	42050
875	294683	41713
876	295004	41374
877	295334	41037
878	295667	40700
879	295988	40362
880	296318	40024
881	296668	39690
882	297015	39355
883	297341	39017
884	297681	38681
885	298033	38347
886	298368	38010
887	298702	37674
888	299026	37336
889	299354	36998
890	299684	36661
891	300014	36324
892	300332	35986
893	300657	35648
894	300990	35311
895	301328	34975
896	301653	34638
897	302015	34304
898	302361	33969
899	302694	33632
900	303050	33298
901	303390	32962
902	303714	32624
903	304036	32287
904	304365	31950
905	304695	31613
906	305029	31276
907	305358	30939
908	305682	30601
909	306012	30265
910	306328	29926
911	306650	29589
912	306981	29252
913	307322	28916
914	307683	28582
915	308012	28245
916	308367	27911
917	308714	27575
918	309044	27238
919	309365	26901
920	309700	26564
921	310022	26227
922	310365	25891
923	310693	25554
924	311022	25218
925	311361	24882
926	311680	24544
927	312002	24207
928	312326	23869
929	312664	23533
930	312992	23197
931	313312	22859
932	313650	22523
933	314007	22188
934	314335	21852
935	314660	21515
936	314989	21178
937	315318	20841
938	315646	20505
939	315976	20168
940	316299	19831
941	316626	19495
942	316956	19158
943	317270	18821
944	317598	18484
945	317939	18148
946	318279	17812
947	318616	17476
948	318960	17141
949	319314	16806
950	319638	16469
951	319964	16132
952	320299	15796
953	320631	15460
954	320973	15124
955	321288	14787
956	321630	14451
957	321958	14115
958	322274	13778
959	322613	13442
960	322948	13106
961	323292	12770
962	323619	12433
963	323951	12097
964	324337	11763
965	324684	11427
966	325011	11091
967	325358	10755
968	325700	10419
969	326021	10083
970	326481	9750
971	326820	9414
972	327170	9078
973	327501	8742
974	327827	8405
975	328155	8069
976	328489	7733
977	328843	7397
978	329168	7060
979	329517	6724
980	329863	6388
981	330196	6052
982	330546	5716
983	330878	5380
984	331198	5043
985	331526	4707
986	331854	4370
987	332192	4034
988	332517	3698
989	332853	3362
990	333174	3025
991	333505	2689
992	333848	2353
993	334190	2017
994	334513	1680
995	334860	1344
996	335215	1008
997	335542	672
998	335862	336
999	336209	0
